ano,mes,sigla_uf,id_estabelecimento_cnes,total_internacoes,permanencia_media_dias,total_leitos
2024,Dezembro,SP,2082306,142,5,35
2024,Dezembro,SP,2082497,46,4,27
2024,Dezembro,SP,2082640,302,5,107
2024,Dezembro,SP,2082659,130,4,62
2024,Dezembro,SP,2082780,41,4,27
2024,Dezembro,SP,2082845,30,14,81
2024,Dezembro,SP,2082942,1,12,31
2024,Dezembro,SP,2083027,53,4,56
2024,Dezembro,SP,2083140,30,16,76
2024,Dezembro,SP,2083272,239,4,49
2024,Dezembro,SP,2084171,497,8,134
2024,Dezembro,SP,2086271,36,2,19
2024,Dezembro,SP,2089335,569,11,164
2024,Dezembro,SP,2091550,291,0,31
2024,Dezembro,SP,2092611,983,6,264
2024,Dezembro,SP,2093332,291,8,91
2024,Dezembro,MG,2098156,74,4,39
2024,Dezembro,MG,2098326,260,13,120
2024,Dezembro,MG,2100371,39,3,35
2024,Dezembro,MG,2101432,27,7,18
2024,Dezembro,MG,2108992,435,15,115
2024,Dezembro,MG,2109867,972,9,148
2024,Dezembro,MG,2112647,20,6,16
2024,Dezembro,MG,2114267,75,20,68
2024,Dezembro,MG,2117568,143,22,50
2024,Dezembro,MG,2118076,20,4,19
2024,Dezembro,MG,2121409,44,3,37
2024,Dezembro,MG,2122677,24,23,98
2024,Dezembro,MG,2127687,95,7,70
2024,Dezembro,MG,2127733,31,5,40
2024,Dezembro,MG,2127911,312,4,50
2024,Dezembro,MG,2127938,24,4,14
2024,Dezembro,MG,2127989,1731,9,344
2024,Dezembro,MG,2128020,31,5,25
2024,Dezembro,MG,2129469,816,7,193
2024,Dezembro,MG,2134268,263,4,79
2024,Dezembro,MG,2134292,17,8,40
2024,Dezembro,MG,2135132,384,13,147
2024,Dezembro,MG,2136139,9,6,24
2024,Dezembro,MG,2139057,13,5,33
2024,Dezembro,MG,2139065,23,6,27
2024,Dezembro,MG,2139200,363,6,111
2024,Dezembro,MG,2140217,119,12,65
2024,Dezembro,MG,2143674,34,4,13
2024,Dezembro,MG,2144255,23,4,19
2024,Dezembro,MG,2144530,474,4,73
2024,Dezembro,MG,2144557,6,13,48
2024,Dezembro,MG,2144654,4,4,20
2024,Dezembro,MG,2146479,39,4,29
2024,Dezembro,MG,2146517,28,7,27
2024,Dezembro,MG,2163071,34,4,22
2024,Dezembro,MG,2164795,47,4,52
2024,Dezembro,MG,2166305,76,3,19
2024,Dezembro,MG,2167670,6,3,8
2024,Dezembro,MG,2167727,90,12,74
2024,Dezembro,MG,2168243,68,5,35
2024,Dezembro,MG,2172259,267,7,87
2024,Dezembro,MG,2178591,107,4,39
2024,Dezembro,MG,2180766,152,10,95
2024,Dezembro,MG,2181029,61,4,37
2024,Dezembro,MG,2181770,155,23,110
2024,Dezembro,MG,2182610,43,3,36
2024,Dezembro,MG,2183811,84,5,36
2024,Dezembro,MG,2184680,13,3,27
2024,Dezembro,MG,2194651,30,3,38
2024,Dezembro,MG,2194937,29,2,20
2024,Dezembro,MG,2197693,136,4,40
2024,Dezembro,MG,2200457,604,10,286
2024,Dezembro,MG,2206064,557,7,151
2024,Dezembro,MG,2206498,90,3,44
2024,Dezembro,MG,2206552,7,4,34
2024,Dezembro,MG,2206595,1100,11,303
2024,Dezembro,MG,2208075,251,4,43
2024,Dezembro,MG,2208857,717,7,152
2024,Dezembro,MG,2213516,8,4,28
2024,Dezembro,MG,2218798,468,10,154
2024,Dezembro,MG,2219654,603,12,157
2024,Dezembro,RS,2224607,39,11,39
2024,Dezembro,RS,2224615,11,4,22
2024,Dezembro,RS,2227762,733,9,192
2024,Dezembro,RS,2227932,391,8,81
2024,Dezembro,RS,2228610,198,3,70
2024,Dezembro,RS,2228653,51,11,72
2024,Dezembro,RS,2228688,171,6,73
